Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2019-01-01,3,La Pampa,9015.0,57881.0,17817.0,14.479,1.295,100.487
2019-01-01,3,La Rioja,11329.0,54744.0,9444.0,6.613,30.0,82.160
2019-01-01,3,Mendoza,91474.0,71247.0,70579.0,21.811,828.0,255.939
2019-01-01,3,Misiones,43230.0,89469.0,10969.0,7.198,7.662,158.528
2019-01-01,3,Neuquén,29650.0,73794.0,16455.0,19.27,640.0,139.809
2019-01-01,3,Río Negro,47934.0,44519.0,18725.0,15.031,18.376,144.585
2019-01-01,3,Salta,49212.0,98318.0,36126.0,5.724,6.453,195.833
2019-01-01,3,San Juan,40072.0,12922.0,6670.0,11.372,8.447,79.483
2019-01-01,3,San Luis,8417.0,11884.0,27.0,68.856,28.68,117.864
2019-01-01,3,Santa Cruz,12347.0,22961.0,6328.0,4.269,3.071,48.976
2019-01-01,3,Santa Fe,245929.0,443156.0,93412.0,43.447,15.64,841.584
2019-01-01,3,Santiago Del Estero,19939.0,85535.0,909.0,6.147,2.928,115.458
2019-01-01,3,Tierra Del Fuego,12853.0,36958.0,6.0,16.0,390.0,50.223
2019-01-01,3,Tucumán,104489.0,53868.0,70964.0,2.408,743.0,232.472
2019-01-01,2,Buenos Aires,603255.0,2503830.0,854173.0,113.546,57.547,4.132.351
2019-01-01,2,Capital Federal,148989.0,1175097.0,41318.0,5.58,29.371,1.400.355
2019-01-01,2,Catamarca,20305.0,9426.0,22331.0,1.449,2.233,55.744
2019-01-01,2,Chaco,39826.0,62948.0,27584.0,8.018,2.353,140.729
2019-01-01,2,Chubut,49271.0,41497.0,6081.0,23.682,18.706,139.237
2019-01-01,2,Córdoba,239780.0,467782.0,151855.0,55.944,15.519,930.880
2019-01-01,2,Corrientes,46648.0,67262.0,3731.0,6.557,5.303,129.501
2019-01-01,2,Entre Ríos,77836.0,124957.0,17856.0,23.786,13.197,257.632
2019-01-01,2,Formosa,19571.0,12509.0,3610.0,15.69,171.0,51.551
2019-01-01,2,Jujuy,24738.0,60800.0,19611.0,2.731,3.968,111.848
2019-01-01,2,La Pampa,9017.0,57014.0,17132.0,13.209,1.295,97.667
2019-01-01,2,La Rioja,11627.0,54255.0,9445.0,6.245,30.0,81.602
2019-01-01,2,Mendoza,91503.0,70834.0,44696.0,21.811,827.0,229.671
2019-01-01,2,Misiones,44960.0,87861.0,10376.0,5.317,7.662,156.176
2019-01-01,2,Neuquén,30083.0,72690.0,15619.0,19.218,640.0,138.250
2019-01-01,2,Río Negro,48189.0,43761.0,18727.0,15.031,18.376,144.084
2019-01-01,2,Salta,51396.0,96016.0,32050.0,5.724,6.453,191.639
2019-01-01,2,San Juan,40072.0,12369.0,6673.0,11.372,8.447,78.933
2019-01-01,2,San Luis,8417.0,11308.0,28.0,66.86,36.205,122.818
2019-01-01,2,Santa Cruz,12347.0,22967.0,6328.0,4.269,3.071,48.982
2019-01-01,2,Santa Fe,256741.0,431915.0,90424.0,43.997,17.523,840.600
2019-01-01,2,Santiago Del Estero,20734.0,83770.0,909.0,5.081,3.596,114.090
2019-01-01,2,Tierra Del Fuego,12853.0,22504.0,6.0,14.0,316.0,35.693
2019-01-01,2,Tucumán,110429.0,48359.0,71683.0,1.837,743.0,233.051
2019-01-01,1,Buenos Aires,629679.0,2452056.0,821597.0,98.806,57.864,4.060.002
2019-01-01,1,Capital Federal,159805.0,1145093.0,39980.0,5.559,29.236,1.379.673
2019-01-01,1,Catamarca,26316.0,4409.0,18688.0,322.0,2.233,51.968
2019-01-01,1,Chaco,43214.0,61251.0,25426.0,8.004,1.875,139.770
2019-01-01,1,Chubut,45501.0,40960.0,3444.0,23.723,18.712,132.340
2019-01-01,1,Córdoba,260350.0,444695.0,134634.0,54.137,17.065,910.881
2019-01-01,1,Corrientes,49160.0,62876.0,3337.0,5.949,5.303,126.625
2019-01-01,1,Entre Ríos,83688.0,118424.0,16846.0,20.836,12.169,251.963
2019-01-01,1,Formosa,20663.0,11412.0,2562.0,15.669,380.0,50.686
2019-01-01,1,Jujuy,32254.0,54324.0,17322.0,2.677,3.879,110.456
2019-01-01,1,La Pampa,8946.0,58711.0,15779.0,12.369,1.3,97.105
2019-01-01,1,La Rioja,17363.0,34984.0,1.0,250.0,30.0,52.628
2019-01-01,1,Mendoza,91844.0,69295.0,38619.0,18.332,833.0,218.923
2019-01-01,1,Misiones,48292.0,82339.0,7064.0,4.796,6.896,149.387
2019-01-01,1,Neuquén,30223.0,70457.0,14171.0,17.752,632.0,133.235
2019-01-01,1,Río Negro,48777.0,42192.0,17828.0,13.994,18.377,141.168
2019-01-01,1,Salta,54768.0,89187.0,31498.0,5.669,6.452,187.574
2019-01-01,1,San Juan,40072.0,11589.0,6671.0,11.482,8.453,78.267
2019-01-01,1,San Luis,8417.0,10678.0,28.0,63.826,36.205,119.154
2019-01-01,1,Santa Cruz,12347.0,23089.0,5975.0,4.264,390.0,46.065
2019-01-01,1,Santa Fe,277012.0,421480.0,70976.0,39.14,17.519,826.127
2019-01-01,1,Santiago Del Estero,26468.0,75849.0,570.0,5.158,3.596,111.641
2019-01-01,1,Tierra Del Fuego,12853.0,27247.0,6.0,0.0,316.0,40.422
2019-01-01,1,Tucumán,147199.0,12185.0,69954.0,1.834,740.0,231.912
2019-01-01,4,Buenos Aires,635651.0,2441248.0,804991.0,93.444,57.927,4.033.261
2019-01-01,4,Capital Federal,163060.0,1142528.0,39890.0,4.815,29.237,1.379.530
2019-01-01,4,Catamarca,26870.0,5115.0,17856.0,322.0,2.233,52.396
2019-01-01,4,Chaco,44332.0,61200.0,23687.0,7.997,1.875,139.091
2019-01-01,4,Chubut,45703.0,39756.0,3040.0,23.363,18.712,130.574
2019-01-01,4,Córdoba,267396.0,439322.0,125620.0,52.827,17.536,902.701
2019-01-01,4,Corrientes,50102.0,61495.0,3146.0,5.626,5.29,125.659
2019-01-01,4,Entre Ríos,85683.0,113670.0,15653.0,20.206,12.169,247.381
2019-01-01,4,Formosa,21264.0,10789.0,2432.0,15.341,380.0,50.206
2019-01-01,4,Jujuy,32850.0,52815.0,15639.0,1.077,3.47,105.851
2019-01-01,4,La Pampa,9009.0,58945.0,15432.0,12.194,1.315,96.895
2019-01-01,4,La Rioja,17513.0,34984.0,1.0,250.0,30.0,52.778
2019-01-01,4,Mendoza,91842.0,68364.0,36083.0,18.331,833.0,215.453
2019-01-01,4,Misiones,49462.0,79855.0,6589.0,4.359,6.896,147.161
2019-01-01,4,Neuquén,30468.0,70614.0,13732.0,17.689,632.0,133.135
2019-01-01,4,Río Negro,48991.0,42022.0,17826.0,13.994,18.377,141.210
2019-01-01,4,Salta,56659.0,87817.0,30604.0,5.858,6.452,187.390
2019-01-01,4,San Juan,40072.0,7004.0,6599.0,10.468,8.453,72.596
2019-01-01,4,San Luis,8417.0,11767.0,27.0,63.019,36.205,119.435
2019-01-01,4,Santa Cruz,12347.0,19657.0,1041.0,4.659,2.97,40.674
2019-01-01,4,Santa Fe,287271.0,414746.0,62692.0,38.712,17.392,820.813
2019-01-01,4,Santiago Del Estero,26812.0,70522.0,570.0,5.169,3.596,106.669
2019-01-01,4,Tierra Del Fuego,12853.0,26439.0,6.0,0.0,316.0,39.614
2019-01-01,4,Tucumán,149322.0,11150.0,68043.0,1.834,740.0,231.089
2019-01-01,3,Buenos Aires,653930.0,2384557.0,749087.0,94.162,55.541,3.937.277
2019-01-01,3,Capital Federal,170375.0,1129573.0,39417.0,3.936,29.374,1.372.675
2019-01-01,3,Catamarca,26868.0,3690.0,16857.0,261.0,2.228,49.904
2019-01-01,3,Chaco,45745.0,58825.0,20675.0,6.706,2.003,133.954
2019-01-01,3,Chubut,45761.0,39386.0,2897.0,23.216,18.767,130.027
2019-01-01,3,Córdoba,276360.0,430771.0,102217.0,48.368,9.756,867.472
2019-01-01,3,Corrientes,50858.0,58681.0,2960.0,5.513,5.379,123.391
2019-01-01,3,Entre Ríos,87892.0,106950.0,13954.0,20.379,12.32,241.495
2019-01-01,3,Formosa,21790.0,10003.0,2000.0,15.023,393.0,49.209
2019-01-01,3,Jujuy,32611.0,57682.0,11112.0,952.0,4.371,106.728
2019-01-01,3,La Pampa,9015.0,56845.0,14677.0,11.893,1.305,93.735
2019-01-01,3,La Rioja,17346.0,34984.0,1.0,250.0,35.0,52.616
2019-01-01,3,Mendoza,91908.0,64672.0,32817.0,17.523,868.0,207.788
